L1,L2,L3,RAM
45,51,69,300
45,48,72,309
54,51,69,309
45,45,63,309
51,54,69,303
45,54,72,306
54,54,72,294
45,48,69,894
45,48,63,300
51,45,69,309
48,48,69,300
51,45,72,321
45,45,69,300
45,54,69,426
48,48,81,303
45,45,69,258
51,51,69,309
45,48,72,300
54,54,72,300
45,45,72,300
45,51,72,309
45,54,69,285
48,45,69,303
51,45,69,309
45,45,69,306
51,48,72,303
48,51,69,300
45,48,69,306
45,48,78,309
45,51,72,300
54,45,69,300
45,54,72,306
51,48,72,300
45,51,69,303
48,45,69,300
45,45,72,300
45,45,69,300
51,51,69,303
48,51,69,300
51,45,72,1029
45,48,69,300
45,54,72,303
54,45,69,264
45,45,84,306
51,48,72,300
45,45,69,300
54,45,63,300
45,51,72,291
45,45,69,303
51,45,69,309
48,51,69,300
51,45,72,309
45,51,69,303
45,45,69,300
48,45,72,309
45,51,69,300
51,45,69,309
45,51,63,300
54,45,75,300
45,45,69,300
45,45,69,291
45,45,69,1077
48,54,69,303
51,45,72,306
45,45,72,1269
51,45,69,309
48,48,69,285
45,48,69,309
45,45,72,315
45,45,72,303
54,48,69,348
45,45,69,303
51,45,75,306
45,45,72,309
48,45,72,309
45,54,72,300
45,48,69,300
51,51,72,306
48,48,69,924
51,51,72,300
45,45,69,300
45,51,69,306
54,45,69,309
45,45,69,300
51,48,69,300
45,45,69,300
54,51,72,303
45,45,75,300
45,51,69,300
51,48,72,303
48,45,72,300
51,45,72,306
45,48,72,300
51,48,69,300
48,45,72,300
45,54,69,300
45,48,69,306
45,48,72,297
51,45,69,255
45,51,72,294
54,45,69,798
45,51,72,300
45,54,69,300
51,45,63,303
48,54,69,300
51,48,69,306
45,45,72,306
45,45,69,309
48,45,72,303
45,45,69,300
51,45,72,300
45,45,69,300
54,48,69,300
45,51,69,1185
48,48,69,300
45,51,69,279
45,48,75,1167
51,51,69,300
48,45,72,285
51,45,63,309
45,54,72,318
45,51,72,300
51,45,69,282
45,51,69,309
54,48,69,333
45,48,69,300
45,54,69,300
45,45,69,309
48,45,69,303
51,45,69,306
48,54,72,309
51,45,75,294
45,45,72,309
45,51,69,303
54,45,69,309
45,51,69,303
51,45,72,303
45,45,69,300
54,51,72,303
45,45,69,306
45,45,72,351
51,45,69,300
48,54,69,303
51,48,63,300
45,45,63,309
45,45,63,306
48,45,75,300
45,51,69,306
51,54,69,300
45,45,72,294
54,45,72,300
45,51,69,309
45,48,69,309
45,45,63,300
45,45,69,306
51,51,69,309
48,48,69,294
51,45,72,300
45,51,69,309
45,48,69,303
54,45,78,309
45,54,69,306
45,45,72,300
48,51,69,300
45,45,69,300
51,51,72,303
45,45,69,351
54,54,69,297
45,54,69,309
45,45,72,300
45,48,69,300
48,48,69,300
51,45,69,297
45,45,69,303
51,45,69,300
48,45,75,300
45,51,69,372
45,45,72,294
45,54,69,1179
51,45,69,294
48,48,69,1218
51,51,69,294
45,45,69,1224
45,45,69,294
54,45,69,306
45,54,72,1011
51,54,69,294
45,45,72,1203
54,51,69,294
45,45,75,1233
45,48,63,294
51,45,69,1239
48,45,72,291
51,45,69,1230
45,45,69,294
45,45,69,1200
48,45,72,297
45,45,69,1218
51,45,69,294
45,51,69,1215
54,48,69,294
45,51,63,1218
45,48,72,1185
45,54,69,768
48,45,75,294
51,45,72,1236
45,45,69,291
51,51,69,969
48,45,63,255
45,54,69,294
45,51,69,966
45,45,69,306
54,54,69,504
45,45,69,294
51,45,69,1239
45,48,69,294
48,48,69,1209
45,45,69,294
45,51,69,1179
51,45,75,297
48,51,69,303
51,45,63,294
45,51,72,1158
45,45,63,294
54,45,63,1236
45,48,69,294
51,45,72,1212
45,45,69,291
54,51,72,1233
45,48,69,294
45,54,69,1248
51,45,69,294
48,51,69,1221
51,45,78,294
45,54,69,1182
45,51,69,294
48,45,69,1209
45,51,72,294
51,45,69,318
45,51,69,306
54,45,72,507
45,45,63,294
45,51,72,1179
45,45,69,294
48,51,69,1224
51,48,69,294
45,45,72,1215
51,45,69,291
48,45,75,1224
45,51,72,294
45,45,69,1176
45,54,69,297
54,48,69,1221
45,51,72,294
51,51,69,1212
45,45,72,294
48,51,72,705
45,45,72,309
45,45,69,294
51,54,72,840
48,48,69,294
51,45,69,1239
45,51,69,294
45,48,75,1245
54,54,69,291
45,48,69,1236
51,45,69,294
45,45,69,1200
54,54,69,294
45,45,69,1224
45,45,72,294
51,45,69,1215
48,45,69,291
51,45,69,1224
45,51,72,309
45,45,69,300
48,51,72,309
45,45,81,438
51,51,72,294
45,45,72,1212
54,51,69,294
45,45,69,1218
45,51,72,291
45,45,69,1182
48,45,69,294
51,45,69,1218
45,45,69,297
51,48,72,1218
48,45,69,294
45,45,69,1215
45,54,69,294
45,45,69,1179
54,45,75,297
45,48,69,309
51,51,69,303
45,45,69,309
48,45,69,693
45,51,72,294
45,45,69,1176
51,45,69,297
48,48,72,1221
51,51,72,294
45,45,69,1212
45,45,72,294
54,45,69,1221
45,45,72,294
51,45,72,1158
45,45,78,294
54,51,69,1221
45,45,69,294
45,48,69,1209
51,45,69,300
48,51,72,306
51,45,69,300
45,51,69,294
45,45,69,927
48,54,69,294
45,45,69,1218
51,51,69,294
45,48,69,1224
54,45,69,294
45,45,75,1215
45,45,72,291
45,54,72,1185
48,45,72,294
51,51,72,1215
45,45,69,291
51,45,69,1221
48,45,72,294
45,51,69,291
45,45,72,1203
45,51,69,294
54,45,69,1209
45,45,69,294
51,51,69,1218
45,45,72,297
48,51,75,1218
45,48,72,294
45,51,69,1179
51,48,69,294
45,54,72,1218
51,45,69,294
45,45,72,1224
45,54,72,294
48,51,69,1215
45,45,69,294
51,45,72,1176
45,48,69,291
54,54,69,309
45,45,72,303
45,45,75,309
45,51,72,720
48,45,69,294
51,51,69,1221
45,45,69,294
51,54,72,1194
48,45,72,294
45,51,69,300
45,54,72,300
45,45,69,501
54,45,72,294
45,51,72,1218
51,45,69,291
45,54,69,1209
48,45,72,294
45,45,78,498
45,51,69,294
51,45,69,1215
48,51,69,291
51,48,69,1224
45,54,69,303
45,45,72,1197
54,51,72,297
45,45,63,1221
