Iteration,SetIndex,LineIndex,Cycles
0,159,3,291
0,159,4,930
0,159,5,315
0,159,6,297
0,159,7,414
0,160,0,264
0,160,1,273
0,160,2,288
0,160,3,303
0,160,4,261
0,160,5,282
0,160,6,285
0,160,7,348
0,161,0,306
0,161,1,261
0,161,2,309
0,161,3,264
0,161,4,627
0,161,5,315
0,161,6,255
0,161,7,402
0,162,0,255
0,162,1,303
0,162,2,291
0,162,3,297
0,162,4,306
0,162,5,252
0,162,6,258
0,162,7,258
0,163,0,282
0,163,1,258
0,163,2,258
0,163,3,675
0,163,4,312
0,163,5,294
0,163,6,270
0,163,7,294
0,164,0,270
0,164,1,945
0,164,2,411
0,164,3,393
0,164,4,252
0,164,5,300
0,164,6,300
0,164,7,309
0,165,0,300
0,165,1,438
0,165,2,1242
0,165,3,306
0,165,4,258
0,165,5,318
0,165,6,291
0,165,7,303
0,166,0,264
0,166,1,264
0,166,2,258
0,166,3,258
0,166,4,291
0,166,5,288
0,166,6,267
0,166,7,306
0,167,0,264
0,167,1,261
0,167,2,303
0,167,3,213
0,167,4,267
0,167,5,264
0,167,6,321
0,167,7,297
0,168,0,318
0,168,1,264
0,168,2,258
0,168,3,936
0,168,4,606
0,168,5,258
0,168,6,432
0,168,7,258
0,169,0,294
0,169,1,309
0,169,2,267
0,169,3,789
0,169,4,258
0,169,5,264
0,169,6,315
0,169,7,297
0,170,0,255
0,170,1,270
0,170,2,270
0,170,3,264
0,170,4,261
0,170,5,297
0,170,6,267
0,170,7,279
0,171,0,255
0,171,1,300
0,171,2,294
0,171,3,258
0,171,4,216
0,171,5,285
0,171,6,264
0,171,7,258
0,172,0,261
0,172,1,264
0,172,2,261
0,172,3,255
0,172,4,255
0,172,5,255
0,172,6,303
0,172,7,294
0,173,0,258
0,173,1,258
0,173,2,261
0,173,3,282
0,173,4,261
0,173,5,261
0,173,6,276
0,173,7,300
0,174,0,303
0,174,1,303
0,174,2,294
0,174,3,300
0,174,4,306
0,174,5,258
0,174,6,408
0,174,7,312
0,175,0,306
0,175,1,1155
0,175,2,294
0,175,3,312
0,175,4,765
0,175,5,306
0,175,6,297
0,175,7,723
0,176,0,258
0,176,1,261
0,176,2,1179
0,176,3,216
0,176,4,201
0,176,5,264
0,176,6,300
0,176,7,297
0,177,0,255
0,177,1,255
0,177,2,258
0,177,3,252
0,177,4,255
0,177,5,258
0,177,6,312
0,177,7,294
0,178,0,300
0,178,1,297
0,178,2,255
0,178,3,309
0,178,4,303
0,178,5,1158
0,178,6,309
0,178,7,252
0,179,0,294
0,179,1,312
0,179,2,297
0,179,3,315
0,179,4,261
0,179,5,252
0,179,6,267
0,179,7,327
0,180,0,1116
0,180,1,294
0,180,2,258
0,180,3,309
0,180,4,309
0,180,5,312
0,180,6,291
0,180,7,315
0,181,0,318
0,181,1,306
0,181,2,255
0,181,3,306
0,181,4,291
0,181,5,555
0,181,6,1107
0,181,7,267
0,182,0,270
0,182,1,258
0,182,2,207
0,182,3,264
0,182,4,213
0,182,5,264
0,182,6,270
0,182,7,270
0,183,0,255
0,183,1,396
0,183,2,303
0,183,3,276
0,183,4,312
0,183,5,300
0,183,6,288
0,183,7,282
0,184,0,303
0,184,1,291
0,184,2,297
0,184,3,258
0,184,4,306
0,184,5,255
0,184,6,300
0,184,7,252
0,185,0,255
0,185,1,303
0,185,2,258
0,185,3,1014
0,185,4,297
0,185,5,312
0,185,6,255
0,185,7,258
0,186,0,267
0,186,1,264
0,186,2,282
0,186,3,258
0,186,4,264
0,186,5,252
0,186,6,279
0,186,7,297
0,187,0,255
0,187,1,276
0,187,2,354
0,187,3,216
0,187,4,216
0,187,5,261
0,187,6,264
0,187,7,300
0,188,0,264
0,188,1,213
0,188,2,261
0,188,3,270
0,188,4,309
0,188,5,228
0,188,6,237
0,188,7,267
0,189,0,312
0,189,1,381
0,189,2,267
0,189,3,285
0,189,4,264
0,189,5,279
0,189,6,327
0,189,7,342
0,190,0,309
0,190,1,258
0,190,2,264
0,190,3,261
0,190,4,318
0,190,5,261
0,190,6,264
0,190,7,267
0,191,0,339
0,191,1,321
0,191,2,249
0,191,3,318
0,191,4,783
0,191,5,318
0,191,6,288
0,191,7,420
0,192,0,258
0,192,1,261
0,192,2,252
0,192,3,318
0,192,4,309
0,192,5,252
0,192,6,303
0,192,7,249
0,193,0,303
0,193,1,924
0,193,2,252
0,193,3,258
0,193,4,654
0,193,5,297
0,193,6,255
0,193,7,294
0,194,0,216
0,194,1,216
0,194,2,267
0,194,3,264
0,194,4,255
0,194,5,312
0,194,6,291
0,194,7,294
0,195,0,255
0,195,1,285
0,195,2,264
0,195,3,288
0,195,4,318
0,195,5,216
0,195,6,261
0,195,7,300
0,196,0,288
0,196,1,264
0,196,2,306
0,196,3,288
0,196,4,261
0,196,5,255
0,196,6,213
0,196,7,294
0,197,0,255
0,197,1,273
0,197,2,255
0,197,3,261
0,197,4,261
0,197,5,255
0,197,6,300
0,197,7,360
0,198,0,312
0,198,1,261
0,198,2,297
0,198,3,300
0,198,4,297
0,198,5,297
0,198,6,297
0,198,7,309
0,199,0,261
0,199,1,306
0,199,2,696
0,199,3,252
0,199,4,252
0,199,5,264
0,199,6,303
0,199,7,312
0,200,0,294
0,200,1,264
0,200,2,210
0,200,3,312
0,200,4,270
0,200,5,258
0,200,6,207
0,200,7,309
0,201,0,258
0,201,1,258
0,201,2,261
0,201,3,258
0,201,4,306
0,201,5,255
0,201,6,261
0,201,7,267
0,202,0,267
0,202,1,333
0,202,2,267
0,202,3,294
0,202,4,258
0,202,5,309
0,202,6,264
0,202,7,267
0,203,0,261
0,203,1,297
0,203,2,303
0,203,3,303
0,203,4,309
0,203,5,450
0,203,6,297
0,203,7,306
0,204,0,261
0,204,1,978
0,204,2,309
0,204,3,261
0,204,4,579
0,204,5,261
0,204,6,345
0,204,7,267
0,205,0,267
0,205,1,264
0,205,2,237
0,205,3,270
0,205,4,321
0,205,5,327
0,205,6,276
0,205,7,264
0,206,0,267
0,206,1,267
0,206,2,303
0,206,3,225
0,206,4,267
0,206,5,270
0,206,6,243
0,206,7,267
0,207,0,273
0,207,1,267
0,207,2,270
0,207,3,255
0,207,4,291
0,207,5,273
0,207,6,270
0,207,7,321
0,208,0,297
0,208,1,297
0,208,2,981
0,208,3,252
0,208,4,1062
0,208,5,264
0,208,6,273
0,208,7,288
0,209,0,267
0,209,1,306
0,209,2,300
0,209,3,267
0,209,4,1113
0,209,5,270
0,209,6,492
0,209,7,300
0,210,0,306
0,210,1,276
0,210,2,315
0,210,3,225
0,210,4,225
0,210,5,306
0,210,6,264
0,210,7,273
0,211,0,282
0,211,1,234
0,211,2,363
0,211,3,267
0,211,4,255
0,211,5,270
0,211,6,294
0,211,7,264
0,212,0,270
0,212,1,252
0,212,2,306
0,212,3,312
0,212,4,213
0,212,5,294
0,212,6,252
0,212,7,333
0,213,0,264
0,213,1,270
0,213,2,267
0,213,3,285
0,213,4,282
0,213,5,252
0,213,6,261
0,213,7,288
0,214,0,309
0,214,1,267
0,214,2,291
0,214,3,249
0,214,4,297
0,214,5,309
0,214,6,267
0,214,7,270
0,215,0,1083
0,215,1,264
0,215,2,267
0,215,3,270
0,215,4,309
0,215,5,306
0,215,6,312
0,215,7,282
0,216,0,300
0,216,1,270
